Outlet_ID,year_month,Volume_Liters_Sum,monthly_holiday_count,Outlet_Size,Cooler_Count,Outlet_Type,Distributor_ID,Seasonality_Index
OUT_00013,2023-02,263.86250061120114,3,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2023-03,602.0498722872669,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2023-05,417.7214711269808,4,Small,0,Hotel,DIST_W_01,Un-Favorable
OUT_00013,2023-06,374.3565609496305,1,Small,0,Hotel,DIST_W_01,Un-Favorable
OUT_00013,2023-07,338.3805090776915,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2023-08,648.7831501930531,2,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2023-09,489.3254450959427,2,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2023-10,575.6017073813709,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2023-11,617.621366221714,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2023-12,502.7308431712894,2,Small,0,Hotel,DIST_W_01,Favorable
OUT_00013,2024-01,347.06252675692355,2,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2024-02,670.8997833287902,3,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2024-03,600.1952182137527,3,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2024-04,818.670200651385,7,Small,0,Hotel,DIST_W_01,Favorable
OUT_00013,2024-05,408.4788076781785,3,Small,0,Hotel,DIST_W_01,Un-Favorable
OUT_00013,2024-07,646.0290581826688,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2024-08,184.6987936577057,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2024-09,513.8758638843755,2,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2024-10,511.5402920542219,2,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2024-11,590.188727584218,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2024-12,559.306361009254,2,Small,0,Hotel,DIST_W_01,Favorable
OUT_00013,2025-01,580.815464007615,2,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2025-03,480.5155144798919,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2025-04,948.2439187517826,5,Small,0,Hotel,DIST_W_01,Favorable
OUT_00013,2025-06,392.7556626101656,1,Small,0,Hotel,DIST_W_01,Un-Favorable
OUT_00013,2025-07,708.2818030001067,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2025-08,267.1639153871659,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2025-09,638.4152455552834,2,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2025-10,576.061742651015,1,Small,0,Hotel,DIST_W_01,Moderate
OUT_00013,2025-12,795.0537061452757,2,Small,0,Hotel,DIST_W_01,Favorable
OUT_00014,2023-02,605.3529021263099,3,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2023-03,550.8517431034152,1,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2023-04,928.0914173773192,4,Small,1,Grocery,DIST_W_01,Favorable
OUT_00014,2023-05,266.85466948299813,4,Small,1,Grocery,DIST_W_01,Un-Favorable
OUT_00014,2023-06,387.44867557700985,1,Small,1,Grocery,DIST_W_01,Un-Favorable
OUT_00014,2023-07,646.9150494968937,1,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2023-08,562.4692473271215,2,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2023-09,507.9477626560039,2,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2023-10,646.8300599278701,1,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2024-01,530.7229737328851,2,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2024-02,469.4059185267215,3,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2024-03,532.6531755120409,3,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2024-05,139.11033534452557,3,Small,1,Grocery,DIST_W_01,Un-Favorable
OUT_00014,2024-06,399.1254037789531,2,Small,1,Grocery,DIST_W_01,Un-Favorable
OUT_00014,2024-07,551.8563127132807,1,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2024-08,553.4692477010834,1,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2024-09,465.8539114398313,2,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2024-10,578.028456810941,2,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2024-11,559.0682950941875,1,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2024-12,825.5851467620753,2,Small,1,Grocery,DIST_W_01,Favorable
OUT_00014,2025-01,651.956188342063,2,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2025-03,407.2860567057043,1,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2025-04,473.5234438427947,5,Small,1,Grocery,DIST_W_01,Favorable
OUT_00014,2025-05,408.4840547989916,3,Small,1,Grocery,DIST_W_01,Un-Favorable
OUT_00014,2025-06,382.2025979512405,1,Small,1,Grocery,DIST_W_01,Un-Favorable
OUT_00014,2025-07,576.8116463853919,1,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2025-08,638.2327412598446,1,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2025-09,600.4097189245749,2,Small,1,Grocery,DIST_W_01,Moderate
OUT_00014,2025-10,545.5182190608681,1,Small,1,Grocery,DIST_W_01,Moderate
