Outlet_ID,Volume_Liters_Sum
OUT_00001,15042.059964362066
OUT_00002,16763.97351671956
OUT_00003,14745.357269598007
OUT_00004,17931.874861303342
OUT_00005,16489.207429666716
OUT_00006,14511.851345696654
OUT_00007,15249.657491317676
OUT_00008,14525.812992073174
OUT_00009,15613.242128720563
OUT_00010,16859.707234560523
OUT_00011,15653.4402023101
OUT_00012,16190.941741623072
OUT_00013,16068.686031705916
OUT_00014,16500.736366439327
OUT_00015,16696.124922622363
OUT_00016,15009.893626162591
OUT_00017,15644.335971981249
OUT_00018,16040.377399403193
OUT_00019,17250.398795762474
OUT_00020,16311.81876993323
OUT_00021,14690.818022703268
OUT_00022,17239.024025338906
OUT_00023,16738.84047517321
OUT_00024,15368.082257846638
OUT_00025,17609.518866453996
OUT_00026,17058.11374383623
OUT_00027,16836.221000242746
OUT_00028,15387.432420569356
OUT_00029,14306.394207934762
OUT_00030,15391.918257885269
OUT_00031,16046.57114378742
OUT_00032,18464.312071068576
OUT_00033,15783.43077867224
OUT_00034,16383.717418980828
OUT_00035,15669.066522126092
OUT_00036,13791.322956926835
OUT_00037,15994.476260572175
OUT_00038,17234.796179293004
OUT_00039,17415.88713318118
OUT_00040,15886.136208293388
OUT_00041,14100.605290246152
OUT_00042,16940.64369861451
OUT_00043,15762.64176276066
OUT_00044,17022.77913017566
OUT_00045,16595.59035116719
OUT_00046,12920.092852328842
OUT_00047,17486.894696120737
OUT_00048,13521.821722202734
OUT_00049,18008.383244615146
OUT_00050,16276.658984595955
OUT_00051,14300.118306804196
OUT_00052,14581.496747824182
OUT_00053,15926.812287461364
OUT_00054,17624.092677357534
OUT_00055,16625.2651048075
OUT_00056,16091.5121114017
OUT_00057,16307.019487522291
OUT_00058,17744.738199054507
OUT_00059,16698.8017745612
OUT_00060,15221.978989739971
OUT_00061,14388.395469453326
OUT_00062,16172.941486656566
OUT_00063,17921.39700873215
OUT_00064,14974.713306206591
OUT_00065,15676.235597852045
OUT_00066,17851.04701699574
OUT_00067,14999.724433158905
OUT_00068,15650.17427870189
OUT_00069,14223.622443078351
OUT_00070,16474.37337849605
OUT_00071,17363.531052914554
OUT_00072,17895.40504338811
OUT_00073,16934.92653168353
OUT_00074,18451.88490811078
OUT_00075,15478.823279169526
OUT_00076,15854.762564089831
OUT_00077,16324.901234140309
OUT_00078,18320.817629573863
OUT_00079,16336.12222969528
OUT_00080,18323.29525468415
OUT_00081,16205.955503554582
OUT_00082,14744.437512893735
OUT_00083,16273.326702424496
OUT_00084,15707.84224462723
OUT_00085,15156.623101988584
OUT_00086,16501.255128873447
OUT_00087,16881.801603350086
OUT_00088,17088.784918417157
OUT_00089,14162.88426129474
OUT_00090,16388.36606478538
OUT_00091,14498.810539164704
OUT_00092,16898.736242258714
OUT_00093,16507.937395307214
OUT_00094,15295.05294165171
OUT_00095,16732.309343301218
OUT_00096,14774.793872105807
OUT_00097,16201.821198125852
OUT_00098,16956.801551181106
OUT_00099,14324.98598513794
