Outlet_ID,year_month,Volume_Liters_Sum
OUT_00001,2023-03,1390.9186698435728
OUT_00001,2023-06,382.6879500304842
OUT_00001,2023-08,552.7139344343435
OUT_00001,2023-10,541.861464897054
OUT_00001,2023-11,223.5940145316921
OUT_00001,2024-03,1941.4700014761206
OUT_00001,2024-05,350.5321105313702
OUT_00001,2024-06,401.5449220735204
OUT_00001,2024-07,248.41401184364264
OUT_00001,2024-08,321.3373142750574
OUT_00001,2024-09,304.603282715361
OUT_00001,2024-10,600.7820082982266
OUT_00001,2024-11,598.8199440943024
OUT_00001,2025-03,1402.7319314171102
OUT_00001,2025-04,875.140679625102
OUT_00001,2025-05,397.62623153170273
OUT_00001,2025-06,389.85873601101605
OUT_00001,2025-07,639.9225968810339
OUT_00001,2025-08,630.1013216516905
OUT_00001,2025-09,654.8932143398148
OUT_00001,2025-10,661.3348860412481
OUT_00001,2025-11,561.83192340043
OUT_00001,2025-12,969.3388144181702
OUT_00002,2023-03,1299.470185266124
OUT_00002,2023-04,726.1863628943805
OUT_00002,2023-05,132.57148976334554
OUT_00002,2023-07,284.19109756034123
OUT_00002,2023-08,646.3768744042337
OUT_00002,2023-09,638.2033153787233
OUT_00002,2023-10,209.41426094038698
OUT_00002,2023-11,654.0689917911201
OUT_00002,2023-12,910.4787037857856
OUT_00002,2024-03,1668.4198072724294
OUT_00002,2024-04,657.6096706511776
OUT_00002,2024-05,349.18023474298974
OUT_00002,2024-07,638.7312249366724
OUT_00002,2024-08,599.8897887346773
OUT_00002,2024-09,557.451622605371
OUT_00002,2024-10,475.1007108403889
OUT_00002,2024-11,615.3577348783772
OUT_00002,2025-03,1406.1855170285335
OUT_00002,2025-04,811.7125707403413
OUT_00002,2025-05,397.12141355122395
OUT_00002,2025-06,328.5262124042748
OUT_00002,2025-07,320.05795702115563
OUT_00002,2025-08,598.6211456376934
OUT_00002,2025-10,422.40220468011
OUT_00002,2025-11,597.1083480074584
OUT_00002,2025-12,819.5360712022447
OUT_00003,2023-03,851.1933158937679
OUT_00003,2023-04,898.8846453657791
OUT_00003,2023-06,194.73689225666243
OUT_00003,2023-07,600.2967827292242
OUT_00003,2023-08,382.1402825691828
OUT_00003,2023-09,334.0762421305916
OUT_00003,2023-10,540.8368593510708
OUT_00003,2023-11,579.6561998900529
OUT_00003,2023-12,245.9970263263111
OUT_00003,2024-03,1790.8517259599382
OUT_00003,2024-04,954.0886708113323
OUT_00003,2024-05,428.5248449915965
OUT_00003,2024-06,334.19524032123496
OUT_00003,2024-07,294.9460170944545
OUT_00003,2024-08,537.6498227897745
OUT_00003,2024-09,292.0571944397749
OUT_00003,2024-11,317.99238745449395
OUT_00003,2024-12,807.6335199434047
OUT_00003,2025-03,1473.7941818870008
OUT_00003,2025-05,165.29161421737933
OUT_00003,2025-06,431.6931143895724
OUT_00003,2025-07,443.18852812634964
OUT_00003,2025-08,219.09100085063196
OUT_00003,2025-09,299.7992446821372
OUT_00003,2025-10,631.8552167989994
OUT_00003,2025-11,694.8866983272902
OUT_00004,2023-03,1194.8527536653528
OUT_00004,2023-04,487.8842434961284
OUT_00004,2023-05,338.77143421613187
OUT_00004,2023-06,334.6353124755349
OUT_00004,2023-07,469.08495140832156
OUT_00004,2023-08,553.3493770506819
OUT_00004,2023-09,591.0654968098731
OUT_00004,2023-10,625.6821565419086
OUT_00004,2023-11,293.5896119252576
OUT_00004,2023-12,871.4034385787897
OUT_00004,2024-03,1638.7174269873528
OUT_00004,2024-04,898.377212676778
OUT_00004,2024-05,413.4067161894766
OUT_00004,2024-06,350.31629984841305
OUT_00004,2024-07,628.5382412850298
OUT_00004,2024-08,315.4640146206324
OUT_00004,2024-09,535.5985693364761
OUT_00004,2024-10,570.995417074522
OUT_00004,2024-11,665.088614044504
OUT_00004,2025-03,1682.090300234845
OUT_00004,2025-04,477.1285653854385
OUT_00004,2025-05,394.57432063800235
OUT_00004,2025-06,437.1335561067226
OUT_00004,2025-07,677.4186253174311
OUT_00004,2025-08,658.0277773978133
OUT_00004,2025-09,612.0048485066453
OUT_00004,2025-10,653.0890795354529
OUT_00004,2025-11,563.5864999498245
OUT_00005,2023-03,1079.8850078399084
OUT_00005,2023-04,610.8125385662926
OUT_00005,2023-05,210.633474167388
OUT_00005,2023-06,455.93598591453184
OUT_00005,2023-07,248.35650890459098
OUT_00005,2023-08,542.4131115396478
OUT_00005,2023-09,581.6753178131307
OUT_00005,2023-12,935.9597529198165
OUT_00005,2024-03,1815.7207970660115
OUT_00005,2024-04,924.5666722491288
OUT_00005,2024-05,223.7085510173678
OUT_00005,2024-06,377.0802054650554
OUT_00005,2024-07,580.9163537675362
OUT_00005,2024-08,631.8205854427196
OUT_00005,2024-09,608.2179343681372
OUT_00005,2024-10,217.45465950230437
OUT_00005,2024-11,527.6198055856107
OUT_00005,2024-12,807.0786858553855
OUT_00005,2025-03,1180.5680999737551
OUT_00005,2025-04,763.6288174077272
OUT_00005,2025-05,187.31606991793072
OUT_00005,2025-07,608.0205983120724
OUT_00005,2025-08,307.4484661814374
OUT_00005,2025-09,455.33094986090674
OUT_00005,2025-10,211.1157273395032
OUT_00005,2025-11,658.4822493509249
OUT_00005,2025-12,737.4405033378956
OUT_00006,2023-03,1095.0380121206613
OUT_00006,2023-04,738.8866284198382
OUT_00006,2023-05,343.3468023982193
OUT_00006,2023-07,561.4538772656279
OUT_00006,2023-08,545.5249024094825
OUT_00006,2023-09,515.9773207363808
OUT_00006,2023-11,579.6830824834549
OUT_00006,2023-12,687.6204394216827
OUT_00006,2024-03,722.113782829099
OUT_00006,2024-06,377.0176357410692
OUT_00006,2024-07,581.5398597371643
OUT_00006,2024-08,578.6895757115952
OUT_00006,2024-10,421.8725473015006
OUT_00006,2024-11,680.5804339135699
OUT_00006,2025-03,1559.2046589518072
OUT_00006,2025-04,836.3524751435253
OUT_00006,2025-06,380.76651299329296
OUT_00006,2025-07,520.6713566598137
OUT_00006,2025-08,586.3728959356297
OUT_00006,2025-09,536.7138933472123
OUT_00006,2025-10,610.7826859296429
OUT_00006,2025-11,323.1347900247955
OUT_00006,2025-12,728.5071762215881
OUT_00007,2023-03,1377.558536355775
OUT_00007,2023-04,923.4203738013607
OUT_00007,2023-05,449.5803368910071
OUT_00007,2023-06,407.91844913335274
OUT_00007,2023-08,338.45615440839833
OUT_00007,2023-09,321.7222356727493
OUT_00007,2023-12,744.0347147185955
OUT_00007,2024-03,2100.2055215172672
OUT_00007,2024-06,187.80119082329284
OUT_00007,2024-07,579.1537139398654
OUT_00007,2024-08,650.5437433634369
OUT_00007,2024-09,649.314634989164
OUT_00007,2024-10,601.2732623230802
OUT_00007,2024-11,529.0652409223821
OUT_00007,2024-12,679.5464291271344
OUT_00007,2025-03,257.59327498261945
OUT_00007,2025-04,1050.424111936557
OUT_00007,2025-05,175.1876638752391
OUT_00007,2025-06,422.31271885214716
OUT_00007,2025-07,503.63525133922224
OUT_00007,2025-08,605.3290636882982
OUT_00007,2025-10,463.67046131393465
OUT_00007,2025-11,558.1423861335777
OUT_00007,2025-12,673.7680212092171
OUT_00008,2023-03,1672.9984760328575
OUT_00008,2023-04,766.0212823458515
OUT_00008,2023-05,320.6241618402077
OUT_00008,2023-06,396.9707981207106
OUT_00008,2023-07,265.6131433324246
OUT_00008,2023-08,702.3666176490458
OUT_00008,2023-11,253.37708383069017
OUT_00008,2023-12,335.480617623472
OUT_00008,2024-03,342.7488298509485
OUT_00008,2024-04,872.0776154927922
OUT_00008,2024-05,347.17429988010855
OUT_00008,2024-06,356.9864218930587
OUT_00008,2024-07,610.795688983042
OUT_00008,2024-08,619.9767133412354
OUT_00008,2024-09,496.58172534591927
OUT_00008,2024-10,311.23562155099563
OUT_00008,2024-12,983.04882085188
OUT_00008,2025-03,1510.7762404202326
OUT_00008,2025-04,909.2227851042348
OUT_00008,2025-05,338.7874638947675
OUT_00008,2025-06,339.9020783830587
OUT_00008,2025-08,234.8879175434538
OUT_00008,2025-09,622.368885567034
